,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
689,689,3.0,0.9211,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['oh_dear', 'seem', 'questions_remain', 'former', 'pm', 'dramatic_brush', 'death', 'lockdown']"
690,690,2.0,0.519,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['covid', 'year', 'ago', 'local_authoritie', 'scramble', 'respond', 'crisis', 'week']"
691,691,1.0,0.824,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['roll', 'package', 'boost', 'consumption', 'stem', 'economic', 'fallout', 'last', 'year', 'covid', 'lockdown']"
692,692,3.0,0.9211,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['oh_dear', 'seem', 'questions_remain', 'former', 'pm', 'dramatic_brush', 'death', 'lockdown']"
693,693,3.0,0.9211,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['oh_dear', 'seem', 'questions_remain', 'former', 'pm', 'dramatic_brush', 'death', 'lockdown']"
694,694,1.0,0.824,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['roll', 'package', 'boost', 'consumption', 'stem', 'economic', 'fallout', 'last', 'year', 'covid', 'lockdown']"
695,695,0.0,0.6988,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['warn', 'lockdown', 'school', 'closure', 'view', 'declaration', 'protection', 'child', 'young', 'people']"
696,696,3.0,0.9211,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['oh_dear', 'seem', 'questions_remain', 'former', 'pm', 'dramatic_brush', 'death', 'lockdown']"
697,697,3.0,0.9211,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['oh_dear', 'seem', 'questions_remain', 'former', 'pm', 'dramatic_brush', 'death', 'lockdown']"
698,698,0.0,0.7775,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['still', 'err', 'side', 'caution', 'study', 'find', 'lockdown', 'reduce', 'covid', 'death', 'recent', 'study', 'find', 'roughly', 'life', 'save', 'first', 'lockdown', 'introduce', 'just', 'week', 'early']"
699,699,0.0,0.62,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['mark', 'third', 'anniversary', 'declaration', 'state', 'national', 'disaster', 'subseque']"
700,700,0.0,0.7592,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['panda', 'warn', 'lockdown', 'school', 'closure', 'view', 'declaration', 'protection', 'child', 'young', 'people', 'covid', 'response']"
701,701,3.0,0.9211,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['oh_dear', 'seem', 'questions_remain', 'former', 'pm', 'dramatic_brush', 'death', 'lockdown']"
702,702,3.0,0.9211,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['oh_dear', 'seem', 'questions_remain', 'former', 'pm', 'dramatic_brush', 'death', 'lockdown']"
703,703,3.0,0.9211,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['oh_dear', 'seem', 'questions_remain', 'former', 'pm', 'dramatic_brush', 'death', 'lockdown']"
704,704,0.0,0.62,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['mark', 'third', 'anniversary', 'declaration', 'state', 'national', 'disaster', 'subseque']"
705,705,2.0,0.519,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['covid', 'year', 'ago', 'local_authoritie', 'scramble', 'respond', 'crisis', 'week']"
706,706,2.0,0.9595,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['perhaps_another', 'lesson', 'covid', 'trust', 'people', 'make', 'career_work', 'respond', 'health_challenge', 'remember', 'party', 'own_residence', 'lockdown', 'boom', 'headshot']"
707,707,3.0,0.9211,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['oh_dear', 'seem', 'questions_remain', 'former', 'pm', 'dramatic_brush', 'death', 'lockdown']"
708,708,3.0,0.9211,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['oh_dear', 'seem', 'questions_remain', 'former', 'pm', 'dramatic_brush', 'death', 'lockdown']"
709,709,3.0,0.9211,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['oh_dear', 'seem', 'questions_remain', 'former', 'pm', 'dramatic_brush', 'death', 'lockdown']"
710,710,2.0,0.9567,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['perhaps_another', 'lesson', 'covid', 'trust', 'people', 'make', 'career_work', 'respond', 'health_challenge', 'remember', 'party', 'own_residence', 'lockdown', 'ouch']"
711,711,3.0,0.9211,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['oh_dear', 'seem', 'questions_remain', 'former', 'pm', 'dramatic_brush', 'death', 'lockdown']"
712,712,2.0,0.519,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['covid', 'year', 'ago', 'local_authoritie', 'scramble', 'respond', 'crisis', 'week']"
713,713,3.0,0.9211,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['oh_dear', 'seem', 'questions_remain', 'former', 'pm', 'dramatic_brush', 'death', 'lockdown']"
714,714,0.0,0.5639,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['mark', 'third', 'anniversary', 'declaration', 'state', 'national', 'disaster', 'subsequent', 'covid', 'lockdown']"
715,715,0.0,0.6784,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'national', 'day', 'reflection', 'mark', 'year', 'first', 'lockdown', 'covid', 'pandemic', 'join']"
716,716,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
717,717,0.0,0.6748,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['mark', 'third', 'anniversary', 'lockdown', 'reflect', 'role', 'respond', 'recover', 'covid', 'pandemic', 'support', 'live', 'long', 'covid', 'part', 'hertfordshire', 'find_out', 'more']"
718,718,2.0,0.519,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['covid', 'year', 'ago', 'local_authoritie', 'scramble', 'respond', 'crisis', 'week']"
719,719,0.0,0.5832,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'year', 'first', 'day', 'national', 'lockdown', 'remember', 'life', 'lose', 'covid']"
720,720,1.0,0.5769,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['ibsgranada_pregnancy', 'specific_stress', 'first', 'lockdown', 'covid', 'pandemic', 'assess']"
721,721,0.0,0.6379,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['here', 'link', 'reflection', 'use', 'railmemorialday', 'look_back', 'year', 'start', 'fir']"
722,722,0.0,0.9056,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['lockdown', 'strikes_lat', 'successfully_bagge', 'first', 'best_university']"
723,723,2.0,0.519,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['covid', 'year', 'ago', 'local_authoritie', 'scramble', 'respond', 'crisis', 'week']"
724,724,0.0,0.9377,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['continue', 'many', 'julie_mcnair', 'year', 'first', 'covid', 'lockdown', 'ma']"
725,725,0.0,0.9377,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['continue', 'many', 'julie_mcnair', 'year', 'first', 'covid', 'lockdown', 'ma']"
726,726,1.0,0.4633,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['pasttrack', 'know', 'announce', 'day', 'lockdown', 'nation', 'control', 'covid', 'day', 'here', 'other', 'important', 'incident', 'take', 'place', 'lockdown', 'abplive']"
727,727,0.0,0.9056,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['lockdown', 'strikes_lat', 'successfully_bagge', 'first', 'best_university']"
728,728,0.0,0.4154,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['day', 'life', 'social', 'medium', 'manager', 'post', 'handshake', 'covid', 'world', 'publish', 'blog', 'year', 'ago', 'today', 'just', 'went_into', 'lockdown', 'still', 'live', 'zoom', 'world', 'work']"
729,729,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
730,730,3.0,0.9111,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['speak', 'truth', 'sheep', 'covid', 'shoot', 'faucilied_faucifile', 'agenda_klausschw']"
731,731,0.0,0.6834,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['here', 'start', 'drama_again', 'get_ready', 'lockdown', 'tag', 'health', 'minister', 'state', 'center', 'stop']"
732,732,0.0,0.944,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'first', 'covid', 'lockdown', 'nhs_service', 'still', 'pressure_addresse', 'record_waite', 'list']"
733,733,0.0,0.8345,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['person', 'walk', 'national', 'covid', 'memorial_wall', 'third', 'anniversary', 'first', 'lockdown']"
734,734,1.0,0.5122,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['social', 'factor', 'contribute', 'healthcare', 'service', 'requirement', 'first', 'covid', 'lockdown', 'old', 'adult']"
735,735,0.0,0.6817,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['lie', 'blatant', 'attempt', 'manipulate', 'figure', 'average', 'age', 'death', 'covid', 'high', 'average', 'life', 'expectancy']"
736,736,0.0,0.6646,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['really', 'news', 'info', 've', 'recently', 'join', 'squad', 'cover', 'thing', 'city', 'foc']"
737,737,0.0,0.3266,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'ago', 'lockdown', 'hit', 'change', 'speak', 'leave', 'country', 'man', 'meet', 'week', 'come', 'get', 'sober', 'move', 'abroad', 'save', 'planet', 'lockdown', 'change', 'life']"
738,738,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
739,739,0.0,0.9492,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['third', 'anniversary', 'first', 'lockdown', 'look_back', 'machinelearning_helpe', 'reveal', 'role', 'blood', 'gluc']"
740,740,0.0,0.6246,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['really', 'news', 'info', 've', 'recently', 'join', 'squad', 'cover', 'thing', 'city', 'focus', 'short', 'form', 'feature', 'here', 'inaugural', 'edit', 'covid', 'change', 'didn', 'change', 'urban', 'life']"
741,741,2.0,0.519,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['covid', 'year', 'ago', 'local_authoritie', 'scramble', 'respond', 'crisis', 'week']"
742,742,0.0,0.6186,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['exactly', 'year', 'ago', 'government', 'announce', 'unprecedented', 'lockdown', 'world', 'shut']"
743,743,1.0,0.6883,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['thank', 'परध', 'decision', 'take', 'manage', 'covid', 'taali', 'thaali', 'gratefulness', 'covid', 'warrior', 'free', 'ration', 'covaxin', 'donate', 'vaccine', 'stand', 'pfizer', 'vaccine', 'rd', 'march']"
744,744,0.0,0.6834,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['here', 'start', 'drama_again', 'get_ready', 'lockdown', 'tag', 'health', 'minister', 'state', 'center', 'stop']"
745,745,0.0,0.9377,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['continue', 'many', 'julie_mcnair', 'year', 'first', 'covid', 'lockdown', 'ma']"
746,746,1.0,0.7395,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['rt', 'today', 'new', 'article', 'impact', 'covidlockdown', 'health', 'adult', 'chronicdisease']"
747,747,0.0,0.5568,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['lockdown', 'change', 'life', 'year', 'ago', 'bittersweet', 'tale', 'covid', 'year', 'covid', 'pandemic', 'force', 'country', 'world', 'implement', 'lockdown', 'bring', 'life', 'know', 'halt']"
748,748,0.0,0.5568,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['lockdown', 'change', 'life', 'year', 'ago', 'bittersweet', 'tale', 'covid', 'year', 'covid', 'pandemic', 'force', 'country', 'world', 'implement', 'lockdown', 'bring', 'life', 'know', 'halt']"
749,749,0.0,0.944,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'first', 'covid', 'lockdown', 'nhs_service', 'still', 'pressure_addresse', 'record_waite', 'list']"
750,750,2.0,0.6068,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['research_insight', 'examine', 'improve_nurse', 'live', 'lesson', 'covid', 'pandemic', 'year']"
751,751,1.0,0.6487,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['remove', 'covid', 'high', 'consequence', 'infectious_disease', 'list', 'stop', 'then', 'th', 'march', 'all', 'lockdown', 'money', 'make', 'scam', 'roll']"
752,752,2.0,0.8297,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sit', 'bench', 'remember', 'lose', 'fight_against', 'covid', 'mark', 'national', 'day', 'reflection']"
753,753,0.0,0.6935,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['study', 'find', 'lockdown', 'reduce', 'covid', 'death', 'recent', 'study', 'find', 'roughly', 'life', 'save', 'first', 'lockdown', 'introduce', 'just', 'week', 'early']"
754,754,0.0,0.9377,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['continue', 'many', 'julie_mcnair', 'year', 'first', 'covid', 'lockdown', 'ma']"
755,755,2.0,0.9351,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['perhaps_another', 'lesson', 'covid', 'trust', 'people', 'make', 'career_work', 'respond', 'heal']"
756,756,2.0,0.519,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['covid', 'year', 'ago', 'local_authoritie', 'scramble', 'respond', 'crisis', 'week']"
757,757,0.0,0.9492,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['third', 'anniversary', 'first', 'lockdown', 'look_back', 'machinelearning_helpe', 'reveal', 'role', 'blood', 'gluc']"
758,758,0.0,0.9492,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['third', 'anniversary', 'first', 'lockdown', 'look_back', 'machinelearning_helpe', 'reveal', 'role', 'blood', 'gluc']"
759,759,0.0,0.6273,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['here', 'start', 'drama_again', 'get_ready', 'lockdown', 'tag', 'health', 'minister', 'state', 'center', 'stop', 'nonsense']"
760,760,0.0,0.6854,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'year', 'anniversary', 'covid', 'lockdown', 'time', 're']"
761,761,3.0,0.3947,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['rd', 'anniversary', 'first', 'lockdown', 'launch', 'new', 'national', 'publication_highlighting']"
762,762,0.0,0.9298,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'year', 'first', 'launch_publication', 'look', 'challenge', 'covid']"
763,763,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
764,764,0.0,0.8069,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['third', 'anniversary', 'first', 'lockdown', 'look_back', 'machinelearning_helpe', 'reveal', 'role', 'blood', 'glucose', 'level', 'severity', 'covid', 'imagine', 'else', 'tackle', 'openscience']"
765,765,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
766,766,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
767,767,0.0,0.7278,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'year', 'lockdown', 'first', 'work', 'home', 'mandate', 'reflect']"
768,768,0.0,0.9492,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'third', 'anniversary', 'covid', 'lockdown', 'like', 'acknowledge', 'dedication', 'railway_col']"
769,769,0.0,0.944,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'first', 'covid', 'lockdown', 'nhs_service', 'still', 'pressure_addresse', 'record_waite', 'list']"
770,770,0.0,0.9377,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['continue', 'many', 'julie_mcnair', 'year', 'first', 'covid', 'lockdown', 'ma']"
771,771,1.0,0.9148,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['few', 'flight', 'ticket', 'covid', 'lockdown', 'time', 'even', 'multiple', 'request', 'refund', 'convert', 'now', 'plan', 'purchase', 'flight', 'ticket', 'give', 'cost', 'barely', 'cover', 'flight', 'cost', 'help']"
772,772,0.0,0.4386,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['covid', 'overtook_europe', 'year', 'ago', 'local_authoritie', 'scramble', 'respond', 'crisis', 'week', 'take', 'stock', 'pandemic', 'impact', 'city', 'many', 'provisional', 'measure', 'become', 'permanent', 'many', 'just', 'fade', 'away']"
773,773,0.0,0.4349,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['lie', 'blatant', 'attempt', 'manipulate', 'figure', 'average', 'age', 'death', 'covid', 'high', 'average', 'life', 'expectancy', 'death', 'covid', 'much', 'low', 'flu', 'pneumonia', 'different', 'try', 'conflate', 'support', 'lie']"
774,774,0.0,0.9377,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['continue', 'many', 'julie_mcnair', 'year', 'first', 'covid', 'lockdown', 'ma']"
775,775,2.0,0.8902,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['rt', 'perhaps_another', 'lesson', 'covid', 'trust', 'people', 'make', 'career_work', 'respond', 'health', 'challe']"
776,776,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
777,777,0.0,0.7211,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'later', 'covid', 'pandemic', 'lockdown', 'remain', 'fresh', 'memory', 'coronavirus', 'pandemic']"
778,778,1.0,0.6297,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['lockdown', 'file', 'team', 'telegraph', 'obtain', 'more', 'whatsapp', 'message', 'send', 'other', 'minister', 'official', 'height', 'covid', 'pandemic', 'conversation', 'raise', 'vital', 'new', 'question', 'handling']"
779,779,0.0,0.9484,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['now', 'be', 'year', 'covid', 'lockdown', 'start', 'policy_director', 'fiona_loud', 'reflect', 'ha']"
780,780,2.0,0.9037,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['think', 'catch', 'essence', 'issue', 'perhaps_another', 'lesson', 'covid', 'trust', 'people', 'make', 'career_work', 'respond', 'health_challenge', 'remember', 'party', 'own_residence', 'lockdown', 'yep']"
781,781,1.0,0.7911,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['ibsgranada_pregnancy', 'specific_stress', 'first', 'lockdown', 'covid', 'pandemic', 'assess', 'face', 'face', 'online', 'recruitment']"
782,782,0.0,0.8086,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['mark', 'year', 'anniversary', 'first', 'covid', 'lockdown', 'speak', 'ainley_consultant']"
783,783,1.0,0.9492,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['commentator', 'left', 'centre', 'wary', 'lockdown', 'economic', 'cost', 'sceptical', 'constant', 'appeal', 'science']"
784,784,1.0,0.9521,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['covid', 'lockdown', 'researcher', 'investigate', 'student', 'perceive', 'laboratory', 'teaching', 'quality', 'learning', 'denmark', 'sciencenewsdk']"
785,785,1.0,0.8144,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['hindsight', 'wonderful', 'world', 'vaccine', 'covid', 'lockdown', 'take', 'place', 'mass', 'grave', 'uk']"
786,786,1.0,0.8498,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['back', 'promise', 'land', 'lead', 'team', 'height', 'first', 'covid', 'lockdown', 'team', 'double', 'makeshift', 'office']"
787,787,0.0,0.6451,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'national', 'day', 'reflection', 'third', 'anniversary', 'first', 'covid', 'lockdown', 'octagon_tower']"
788,788,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
789,789,1.0,0.5801,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['remove', 'covid', 'hcid', 'high', 'consequence', 'infectious_disease', 'list', 'downgrade', 'category', 'flu', 'day', 'later', 'put', 'lockdown', 'know', 'prior', 'lockdown', 'covid', 'low', 'ifr', 'illness']"
790,790,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
791,791,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
792,792,2.0,0.9568,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['perhaps_another', 'lesson', 'covid', 'trust', 'people', 'make', 'career_work', 'respond', 'health_challenge', 'remember', 'party', 'own_residence', 'lockdown', 'sridhar']"
793,793,0.0,0.6852,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'year', 'anniversary', 'covid', 'lockdown', 'time', 'remember']"
794,794,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
795,795,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
796,796,0.0,0.9295,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'third', 'anniversary', 'covid', 'lockdown', 'lockdown']"
797,797,0.0,0.8508,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'third', 'national', 'dayofreflection', 'anniversary', 'first', 'lockdown', 'covid', 'pandemic']"
798,798,1.0,0.9223,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['shocking_trail', 'bhumi_pednekar', 'film', 'covid', 'lockdown', 'migration_taken', 'series']"
799,799,0.0,0.6852,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'year', 'anniversary', 'covid', 'lockdown', 'time', 'remember']"
800,800,1.0,0.4243,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['week', 'covid', 'case', 'last', 'week', 'new', 'death']"
801,801,0.0,0.7211,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'later', 'covid', 'pandemic', 'lockdown', 'remain', 'fresh', 'memory', 'coronavirus', 'pandemic']"
802,802,0.0,0.9298,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'year', 'first', 'launch_publication', 'look', 'challenge', 'covid']"
803,803,1.0,0.932,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['magical', 'evening', 'celebrate', 'studentnurse', 'group', 'just', 'qualified', 'fan']"
804,804,0.0,0.7211,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'later', 'covid', 'pandemic', 'lockdown', 'remain', 'fresh', 'memory', 'coronavirus', 'pandemic']"
805,805,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
806,806,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
807,807,1.0,0.6456,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['domestic', 'worker', 'miss', 'work', 'almost', 'bcos', 'treatment', 'covid', 'lockdown', 'income', 'loss']"
808,808,1.0,0.3124,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['otd', 'order', 'day', 'lockdown', 'world', 'second', 'most', 'populous', 'country', 'people', 'deal', 'covid']"
809,809,0.0,0.4336,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['ve', 'see', 'various', 'report', 'many', 'life', 'save', 'locked_down', 'week']"
810,810,0.0,0.9491,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['colleague', 'king_cross', 'station', 'join', 'public', 'concourse', 'today', 'mark', 'third', 'annive']"
811,811,2.0,0.7793,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['want', 'sleep', 'little', 'more', 'covid', 'yesitsyoutfault', 'sadbot', 'wastingmylife', 'covid']"
812,812,1.0,0.7949,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['patient', 'domestic', 'worker', 'miss', 'work', 'almost', 'bcos', 'treatment', 'covid', 'lockdown', 'income', 'loss', 'cost', 'postoperative', 'care', 'capture', 'health', 'expenditure_data', 'gather', 'national', 'statistical', 'office', 'accord']"
813,813,0.0,0.7865,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'covid', 'lockdown', 'wave', 'vaccination', 'battle', 'continue']"
814,814,0.0,0.7865,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'covid', 'lockdown', 'wave', 'vaccination', 'battle', 'continue']"
815,815,0.0,0.9492,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'third', 'anniversary', 'covid', 'lockdown', 'acknowledge', 'dedicated_railway', 'colleague', 'kept_service']"
816,816,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
817,817,3.0,0.5101,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['feel', 'bored', 'lockdown', 'here', 'some_tip', 'keep', 'top', 'mental_health']"
818,818,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
819,819,2.0,0.4202,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['hour', 'announce', 'week', 'nationwide', 'lockdown', 'modi', 'personally']"
820,820,1.0,0.5748,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['suspect', 'covid', 'simple', 'flue', 'disease', 'hence', 'need', 'world', 'wide', 'lockdown', 'covid', 'presume', 'world', 'wide', 'lockdown', 'impose', 'prevent', 'world', 'wide', 'protest', 'caa', 'government']"
821,821,2.0,0.4202,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['hour', 'announce', 'week', 'nationwide', 'lockdown', 'modi', 'personally']"
